   101.23420715332031       0.17383180558681488              500           7
   0.50000000D-10   0.17365120D+00  -0.19999950D+11  -0.20518918D-02  -0.19999950D+11 0 0
   0.59883877D-04   0.17365520D+00  -0.19999983D+11  -0.61558074D-02  -0.19999983D+11 0 0
   0.99806428D-04   0.17365636D+00  -0.19999990D+11  -0.10259920D-01  -0.19999990D+11 1 0
   0.13972898D-03   0.17365469D+00  -0.19999993D+11  -0.14364101D-01  -0.19999993D+11 1 0
   0.17965153D-03   0.17365018D+00  -0.19999994D+11  -0.18468508D-01  -0.19999994D+11 1 0
   0.21957408D-03   0.17364283D+00  -0.19999995D+11  -0.22573205D-01  -0.19999995D+11 1 0
   0.25949663D-03   0.17363264D+00  -0.19999996D+11  -0.26678255D-01  -0.19999996D+11 1 0
   0.29941918D-03   0.17361961D+00  -0.19999997D+11  -0.30783720D-01  -0.19999997D+11 1 0
   0.33934174D-03   0.17360375D+00  -0.19999997D+11  -0.34889664D-01  -0.19999997D+11 1 0
   0.37926429D-03   0.17358504D+00  -0.19999997D+11  -0.38996149D-01  -0.19999997D+11 1 0
   0.41918684D-03   0.17356349D+00  -0.19999998D+11  -0.43103238D-01  -0.19999998D+11 1 0
   0.45910939D-03   0.17353910D+00  -0.19999998D+11  -0.47210995D-01  -0.19999998D+11 1 0
   0.49903194D-03   0.17351186D+00  -0.19999998D+11  -0.51319483D-01  -0.19999998D+11 1 0
   0.53895449D-03   0.17348177D+00  -0.19999998D+11  -0.55428765D-01  -0.19999998D+11 1 0
   0.57887704D-03   0.17344884D+00  -0.19999998D+11  -0.59538905D-01  -0.19999998D+11 1 0
   0.61879959D-03   0.17341305D+00  -0.19999998D+11  -0.63649966D-01  -0.19999998D+11 1 0
   0.65872215D-03   0.17337441D+00  -0.19999998D+11  -0.67762012D-01  -0.19999998D+11 1 0
   0.69864470D-03   0.17333292D+00  -0.19999999D+11  -0.71875107D-01  -0.19999999D+11 1 0
   0.73856725D-03   0.17328857D+00  -0.19999999D+11  -0.75989314D-01  -0.19999999D+11 1 0
   0.77848980D-03   0.17324136D+00  -0.19999999D+11  -0.80104698D-01  -0.19999999D+11 1 0
   0.81841235D-03   0.17319128D+00  -0.19999999D+11  -0.84221323D-01  -0.19999999D+11 1 0
   0.85833490D-03   0.17313834D+00  -0.19999999D+11  -0.88339253D-01  -0.19999999D+11 1 0
   0.89825745D-03   0.17308254D+00  -0.19999999D+11  -0.92458554D-01  -0.19999999D+11 1 0
   0.93818000D-03   0.17302386D+00  -0.19999999D+11  -0.96579289D-01  -0.19999999D+11 1 0
   0.97810255D-03   0.17296230D+00  -0.19999999D+11  -0.10070152D+00  -0.19999999D+11 1 0
   0.10180251D-02   0.17289787D+00  -0.19999999D+11  -0.10482532D+00  -0.19999999D+11 1 0
   0.10579477D-02   0.17283056D+00  -0.19999999D+11  -0.10895075D+00  -0.19999999D+11 1 0
   0.10978702D-02   0.17276036D+00  -0.19999999D+11  -0.11307788D+00  -0.19999999D+11 1 0
   0.11377928D-02   0.17268727D+00  -0.19999999D+11  -0.11720677D+00  -0.19999999D+11 1 0
   0.11777153D-02   0.17261129D+00  -0.19999999D+11  -0.12133748D+00  -0.19999999D+11 1 0
